run_accession	total_bases	total_spots	isolate	collection_date	geo_loc_name	host	biosample	library_strategy	library_selection	platform	instrument	bioproject	host_category
SRR31960165	146381947	286315	24-038274-001	2024	USA	CATTLE	SAMN46201402	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960166	84319860	161013	24-038338-001	2024	USA	CATTLE	SAMN46201437	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960167	95503102	183138	24-038335-003	2024	USA	CATTLE	SAMN46201436	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960168	105000567	203093	24-038335-002	2024	USA	CATTLE	SAMN46201435	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960169	116519044	222234	24-038335-001	2024	USA	CATTLE	SAMN46201434	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960170	129281227	290808	24-038334-002	2024	USA	CATTLE	SAMN46201433	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960171	128872142	245586	24-038333-003	2024	USA	CATTLE	SAMN46201432	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960172	133132175	253102	24-038333-002	2024	USA	CATTLE	SAMN46201431	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960173	140323498	268862	24-038333-001	2024	USA	CATTLE	SAMN46201430	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960174	117398733	224701	24-038330-001	2024	USA	CATTLE	SAMN46201429	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960175	114125328	219809	24-038329-001	2024	USA	CATTLE	SAMN46201428	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960176	128261694	251044	24-038272-001	2024	USA	CATTLE	SAMN46201401	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960177	97791929	191047	24-038323-002	2024	USA	CATTLE	SAMN46201427	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960178	122203574	236440	24-038323-001	2024	USA	CATTLE	SAMN46201426	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960179	80899611	158478	24-038322-001	2024	USA	CATTLE	SAMN46201425	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960180	185915191	364954	24-038321-003	2024	USA	CATTLE	SAMN46201424	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960181	232581674	476072	24-038321-002	2024	USA	CATTLE	SAMN46201423	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960182	68811271	134539	24-038320-004	2024	USA	CATTLE	SAMN46201422	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960183	75992158	144012	24-038320-003	2024	USA	CATTLE	SAMN46201421	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960184	88155274	170582	24-038320-002	2024	USA	CATTLE	SAMN46201420	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31960185	103558113	201251	24-038320-001	2024	USA	CATTLE	SAMN46201419	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
